"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"02-02","GASEOSAS","11100.00","6685.00","14430.00","15580.00","17720.00","65515.00"
"01-03","FIDEOS","9637.95","7925.06","10870.49","9470.42","8133.02","46036.94"
"01-07","AZ CAR","6163.00","6078.00","4307.00","5476.00","4329.00","26353.00"
"01-20","HARINAS","4471.90","3880.16","3932.59","3447.37","7384.53","23116.55"
"06-01","DULCES","5011.00","4513.24","4926.47","4310.84","4215.00","22976.55"
"04-15","PAPEL HIGIENICO","3590.00","3592.00","3638.00","3217.00","3440.00","17477.00"
"01-04","TOMATE","3529.00","3074.00","3672.00","3141.00","3179.00","16595.00"
"01-02","ARROZ","4246.00","2925.00","3050.00","3035.82","3229.00","16485.82"
"25-49","QUESOS","3016.61","2461.63","3709.43","3602.02","3511.86","16301.55"
"01-12","SAL","4772.57","2514.47","2820.27","2535.66","2679.64","15322.61"
"07-07","JABONES","3364.00","2707.00","2519.00","2640.00","2551.00","13781.00"
"01-13","ADEREZOS","2667.00","2733.00","2896.00","2764.00","2709.00","13769.00"
"06-02","CRAKERS","2729.00","2547.00","2686.00","2494.00","2372.00","12828.00"
"01-01","ACEITES","2569.00","2276.00","2784.00","2556.00","2486.00","12671.00"
"02-06","JUGOS","1869.00","1543.00","2735.00","2453.00","2391.00","10991.00"
"01-17","CONSERVAS DE CARNE","2208.00","2192.00","2140.00","1700.00","1762.00","10002.00"
"25-53","LECHES","2504.00","2134.00","2031.00","1781.00","1508.00","9958.00"
"04-60","JABON EN PAN","2435.00","1589.00","2107.00","1777.00","1409.00","9317.00"
"04-16","ROLLO DE COCINA","1804.00","1863.00","1841.00","1632.00","1749.00","8889.00"
"01-57","SNACK","1636.05","1369.85","1342.70","1850.06","2506.57","8705.23"
"25-48","YOGURES","2316.00","1835.00","1663.00","1604.00","1083.00","8501.00"
"07-31","PROTECCION FEMENINA","2074.00","1460.00","1671.00","1513.00","1411.00","8129.00"
"25-55","SALCHICHAS","1910.00","1597.00","1454.00","1382.00","1625.00","7968.00"
"03-07","ALFAJORES","778.00","417.00","2651.00","2017.00","2095.00","7958.00"
"04-04","DETERGENTES","2129.00","1487.00","1546.00","1437.00","1317.00","7916.00"
"04-13","INSECTICIDAS","2544.00","1746.00","2074.00","1054.00","488.00","7906.00"
"01-09","YERBAS","1800.00","1539.00","1642.02","1352.00","1441.00","7774.02"
"15-11","VINOS","1392.00","1801.00","1449.00","1321.00","1421.00","7384.00"
"04-03","ESPONJAS","1897.00","1557.00","1310.00","1237.00","1370.00","7371.00"
"07-08","CREMAS DENTALES","1697.00","1550.00","1315.00","1377.00","1314.00","7253.00"
"01-11","CALDOS","1193.00","1340.00","1730.00","1377.00","1448.00","7088.00"
"15-01","CERVEZAS","1605.00","1334.00","670.00","2781.00","548.00","6938.00"
"06-06","OBLEAS","1189.00","1480.00","1394.00","1025.00","1685.00","6773.00"
"01-10","HARINA DE MAIZ","999.35","1000.66","1373.17","1453.73","1651.82","6478.73"
"04-49","BOLSAS/ROLLOS/FREEZER","318.00","197.00","1849.00","2872.00","991.00","6227.00"
"18-01","TODOS","1434.00","13.00","2441.00","1645.00","606.00","6139.00"
"01-19","MATE COCIDO","1317.00","1171.00","1384.00","1110.00","1026.00","6008.00"
"04-05","JABON EN POLVO PARA ROPA","1384.18","1247.00","1159.00","1021.00","989.00","5800.18"
"04-14","LAVANDINAS","1479.00","1080.00","985.00","1142.00","951.00","5637.00"
"03-17","TURRON","1365.00","973.00","834.00","920.00","1405.00","5497.00"
"07-01","SHAMPOO","1226.00","1021.00","1084.00","1014.00","994.00","5339.00"
"01-15","LEGUMBRES Y VERDURAS REMOJAD","1049.00","925.00","1077.00","1085.00","1017.00","5153.00"
"25-57","PANIFICADOS","1110.82","948.62","999.58","984.31","994.31","5037.64"
"01-25","ESPECIAS","1076.00","945.00","1127.00","866.00","963.00","4977.00"
"01-18","TE","940.00","839.00","977.00","939.00","824.00","4519.00"
"04-25","VELAS","927.00","820.00","1101.00","701.00","650.00","4199.00"
"05-05","FILOS","902.00","785.00","828.00","871.00","666.00","4052.00"
"07-02","ENJUAGUES CAPILARES","863.00","845.00","750.00","764.00","796.00","4018.00"
"01-16","CONSERVAS DE PESCADO","1076.00","817.00","811.00","618.00","453.00","3775.00"
"25-63","HAMBURGUESAS","713.00","604.00","684.00","626.00","719.00","3346.00"
"06-05","BIZCOCHOS","804.00","806.00","646.00","492.00","534.00","3282.00"
"01-24","CAFE","313.00","359.00","624.00","755.00","998.00","3049.00"
"04-06","ENJUAGUES/PERFUMES PARA ROPA","571.00","584.00","631.00","648.00","585.00","3019.00"
"25-60","LEVADURAS","643.00","491.00","746.13","487.76","638.82","3006.71"
"01-36","VINAGRES","672.00","589.00","643.00","536.00","492.00","2932.00"
"02-04","AGUAS SABORIZADAS","630.00","827.00","424.00","503.00","526.00","2910.00"
