"depto_cod","departamento","Fair","Burzaco","A.Korn","Tucuman","Total_Global"
"03-07","ALFAJORES","60032.00","14804.00","15401.00","2095.00","92332.00"
"01-03","FIDEOS","44492.39","10090.85","24948.00","8133.02","87664.26"
"01-04","TOMATE","54051.00","7730.00","20763.00","3179.00","85723.00"
"01-57","SNACK","41419.00","10404.00","15967.00","2506.57","70296.57"
"06-01","DULCES","33915.00","9717.00","18871.00","4215.00","66718.00"
"02-02","GASEOSAS","15945.00","5846.00","19625.00","17720.00","59136.00"
"01-07","AZ CAR","20764.21","5310.35","17239.00","4329.00","47642.56"
"25-49","QUESOS","20719.66","4836.00","16447.15","3511.86","45514.67"
"25-53","LECHES","19014.00","5307.00","18890.00","1508.00","44719.00"
"01-20","HARINAS","18279.16","3970.90","11433.00","7384.53","41067.59"
"01-02","ARROZ","17346.90","3451.84","10511.00","3229.00","34538.74"
"01-13","ADEREZOS","16830.00","3965.00","9599.00","2709.00","33103.00"
"01-09","YERBAS","17488.24","4206.03","9516.00","1441.00","32651.27"
"04-15","PAPEL HIGIENICO","11482.00","2981.00","7400.00","3440.00","25303.00"
"06-02","CRAKERS","10964.00","3876.00","7757.00","2372.00","24969.00"
"01-01","ACEITES","11513.00","2586.00","6520.00","2486.00","23105.00"
"25-48","YOGURES","7020.00","2015.00","12239.00","1083.00","22357.00"
"15-01","CERVEZAS","8563.00","3049.00","9213.00","548.00","21373.00"
"25-55","SALCHICHAS","6177.00","1789.00","10472.00","1625.00","20063.00"
"01-25","ESPECIAS","10441.00","2378.00","6255.00","963.00","20037.00"
"02-06","JUGOS","9941.00","2535.00","5084.00","2391.00","19951.00"
"03-17","TURRON","11418.00","3248.00","3594.00","1405.00","19665.00"
"07-07","JABONES","9357.00","2095.00","4550.00","2551.00","18553.00"
"04-49","BOLSAS/ROLLOS/FREEZER","15254.00","806.00","1425.00","991.00","18476.00"
"25-57","PANIFICADOS","9378.00","1825.00","5722.00","994.31","17919.31"
"07-31","PROTECCION FEMENINA","8779.00","1862.00","5011.00","1411.00","17063.00"
"06-05","BIZCOCHOS","10212.00","2569.00","3119.00","534.00","16434.00"
"04-16","ROLLO DE COCINA","8090.00","2459.00","4097.00","1749.00","16395.00"
"25-58","TAPAS/COPETIN/PASTELITOS","7951.00","1468.00","5048.00","61.00","14528.00"
"02-04","AGUAS SABORIZADAS","6142.00","2181.00","5364.00","526.00","14213.00"
"06-03","RELLENAS","7704.00","1815.00","3816.00","442.00","13777.00"
"01-12","SAL","6205.35","1667.00","3173.00","2679.64","13724.99"
"25-52","MANTECAS","5040.00","1398.00","6790.00","473.00","13701.00"
"01-17","CONSERVAS DE CARNE","6316.00","1568.00","3922.00","1762.00","13568.00"
"03-04","CHOCOLATES","7739.00","2043.00","3177.00","296.00","13255.00"
"06-06","OBLEAS","5258.00","1424.00","4659.00","1685.00","13026.00"
"01-11","CALDOS","6301.00","1729.00","3449.00","1448.00","12927.00"
"15-11","VINOS","6230.00","1913.00","2703.00","1421.00","12267.00"
"02-03","AGUAS MINERAL","5150.00","2968.00","3188.00","259.00","11565.00"
"04-04","DETERGENTES","5322.00","1447.00","3172.00","1317.00","11258.00"
"01-18","TE","4989.00","1351.00","2994.00","824.00","10158.00"
"07-08","CREMAS DENTALES","5534.00","1026.00","2270.00","1314.00","10144.00"
"01-24","CAFE","5014.00","1170.00","2590.00","998.00","9772.00"
"01-10","HARINA DE MAIZ","4559.99","1084.00","2147.00","1651.82","9442.81"
"25-60","LEVADURAS","3969.00","750.00","3711.00","638.82","9068.82"
"04-03","ESPONJAS","4527.00","1171.00","1619.00","1370.00","8687.00"
"07-01","SHAMPOO","4072.00","1098.00","2426.00","994.00","8590.00"
"25-50","DULCES DE LECHE","4084.00","914.00","3137.00","318.03","8453.03"
"01-15","LEGUMBRES Y VERDURAS REMOJAD","4426.00","753.00","2036.00","1017.00","8232.00"
"25-63","HAMBURGUESAS","2645.00","661.00","4003.00","719.00","8028.00"
"01-32","PAN RALLADO Y REBOZADORES","4429.22","1033.07","1960.00","444.50","7866.79"
"07-02","ENJUAGUES CAPILARES","3699.00","1020.00","2158.00","796.00","7673.00"
"03-05","GOMITAS","4265.00","870.00","1620.00","263.00","7018.00"
"01-14","LEGUMBRES SECAS Y SEMILLAS","4736.00","507.00","1130.00","602.00","6975.00"
"04-14","LAVANDINAS","3315.00","818.00","1666.00","951.00","6750.00"
"01-16","CONSERVAS DE PESCADO","3429.00","786.00","1823.00","453.00","6491.00"
"01-19","MATE COCIDO","2987.00","686.00","1641.00","1026.00","6340.00"
"05-03","PRODUCTOS DE FARMACIA","3974.00","741.00","725.00","628.00","6068.00"
"06-04","BA ADAS","3131.00","754.00","1775.00","100.00","5760.00"
"04-26","BOLSAS DE RESIDUOS","2607.00","1012.00","1475.00","247.00","5341.00"
"04-61","JABON LIQUIDO PARA ROPA","2493.00","768.00","1562.00","468.00","5291.00"
"07-06","DESODORANTES","2902.00","732.00","1208.00","439.00","5281.00"
"05-05","FILOS","2730.00","1026.00","845.00","666.00","5267.00"
"25-59","GRASA","2499.00","445.00","1934.00","230.00","5108.00"
"25-66","FIAMBRES","1946.33","236.14","2492.83","427.92","5103.22"
"04-60","JABON EN PAN","1828.00","638.00","1218.00","1409.00","5093.00"
"25-56","PASTAS FRESCAS","2034.00","479.00","2289.00","208.00","5010.00"
"05-10","ENCENDEDORES","2872.00","759.00","1075.00","282.00","4988.00"
"06-08","MAGDALENAS","2473.00","765.00","1451.00","283.00","4972.00"
"01-21","BIZCOCHUELOS","2282.00","629.00","1940.00","111.00","4962.00"
"01-26","CEREALES","2753.00","561.00","1426.00","132.95","4872.95"
"01-23","MERMELADAS","2228.00","775.00","1354.00","227.00","4584.00"
"03-01","CARAMELOS","3046.00","377.00","922.00","145.00","4490.00"
"04-05","JABON EN POLVO PARA ROPA","1771.00","500.00","1229.00","989.00","4489.00"
"01-27","CACAOS","2244.00","561.00","1426.00","179.00","4410.00"
"02-07","ENERGIZANTES","2147.00","681.00","1127.00","275.00","4230.00"
"01-36","VINAGRES","2257.00","489.00","865.00","492.00","4103.00"
"03-19","GIRASOL","3438.00","169.00","424.00","72.00","4103.00"
"12-01","TABACO","2149.00","225.00","1128.00","513.00","4015.00"
"06-17","TOSTADAS","2459.00","507.00","960.00","84.00","4010.00"
"03-12","MALVAVISCOS","2512.00","575.00","669.00","101.00","3857.00"
"51-03","LAMPARAS/FAROLES","2459.00","371.00","666.00","201.00","3697.00"
"25-54","CREMAS","1309.00","391.00","1687.00","48.00","3435.00"
"06-09","VAINILLAS","2179.00","414.00","478.00","258.00","3329.00"
"04-07","DESODORANTES PARA PISO","1340.00","509.00","1027.00","411.00","3287.00"
"04-06","ENJUAGUES/PERFUMES PARA ROPA","1450.00","346.00","868.00","585.00","3249.00"
"01-22","GELATINAS","1483.00","490.00","1058.00","209.00","3240.00"
"07-29","CEPILLOS/HILOS DENTALES","1638.00","269.00","981.00","304.00","3192.00"
"25-51","POSTRES/FLANES","1103.21","286.00","1686.00","104.44","3179.65"
"06-13","GALLETAS DE ARROZ","2008.00","431.00","672.00","43.00","3154.00"
"25-61","HUEVOS","1234.85","295.00","1015.00","601.49","3146.34"
"02-05","SODAS","1141.00","653.00","1085.00","260.00","3139.00"
"25-67","DULCES BATATA/MEMBRILLO","1394.69","402.46","943.90","165.93","2906.98"
"15-08","PETACAS","1249.00","362.00","928.00","104.00","2643.00"
"03-10","BOMBONES","1447.00","460.00","547.00","113.00","2567.00"
"04-25","VELAS","876.00","218.00","759.00","650.00","2503.00"
"04-38","DESODORANTE DE AMBIENTE","1083.00","405.00","695.00","315.00","2498.00"
"04-02","REJILLAS/PA OS","1222.00","341.00","552.00","351.00","2466.00"
"01-38","FRUTAS ENLATADAS","1345.00","192.00","622.00","268.00","2427.00"
"07-32","TALCO/FECULA","1468.00","248.00","471.00","215.00","2402.00"
"04-01","TRAPOS DE PISO","1500.00","107.00","425.00","351.00","2383.00"
"03-08","BARRITA DE CEREAL","1154.00","463.00","675.00","23.00","2315.00"
"05-07","NAIPES","2199.00","13.00","22.00","51.00","2285.00"
"04-13","INSECTICIDAS","902.00","257.00","617.00","488.00","2264.00"
"04-53","ALCOHOL","1079.00","254.00","548.00","337.00","2218.00"
"01-54","CURTIDOS","1311.00","201.00","566.54","123.10","2201.64"
"03-03","CHUPETINES","1147.00","334.00","397.00","153.00","2031.00"
"03-20","CONFITES","817.00","410.00","732.00","0","1959.00"
"01-08","EDULCORANTE","1048.00","243.00","382.00","70.00","1743.00"
"05-08","FOSFOROS","1362.00","197.00","62.00","101.00","1722.00"
"07-17","TOALLITAS HUMEDAS","819.00","205.00","468.00","140.00","1632.00"
"05-33","ANTITRANSPIRANTE ROLL ON","862.00","182.00","321.00","249.00","1614.00"
"07-25","HISOPOS","957.00","178.00","270.00","143.00","1548.00"
"15-05","VODKA","811.00","171.00","527.00","16.00","1525.00"
"01-43","FLAN-POSTRES","611.00","288.00","421.00","154.00","1474.00"
"15-04","FERNET","657.00","189.00","435.00","184.00","1465.00"
"07-27","ALGODONES","738.00","98.00","404.00","138.00","1378.00"
"04-27","DESINFECTANTES","660.00","152.00","398.00","156.00","1366.00"
"04-08","LIMPIADORES","646.00","221.00","250.00","198.00","1315.00"
"07-12","PA ALES DESCARTABLES","555.00","143.00","405.00","203.00","1306.00"
"07-42","CARILINAS","703.00","248.00","285.00","12.00","1248.00"
"01-29","SOPAS","562.00","173.00","305.00","175.00","1215.00"
"01-05","SALSAS","943.00","111.00","142.00","16.00","1212.00"
"03-11","PASTILLAS","680.00","86.00","299.00","83.00","1148.00"
"02-10","AMARGOS","679.00","105.00","261.00","35.00","1080.00"
"05-04","PILAS","666.00","111.00","119.00","157.00","1053.00"
"04-42","AZUFRE","181.00","107.00","653.00","55.00","996.00"
"03-18","MANI","4.00","0","0","971.17","975.17"
"15-02","APERITIVOS","497.00","147.00","302.00","25.00","971.00"
"01-31","MIEL","512.00","107.00","296.00","52.00","967.00"
"06-07","GRISINES Y TALITAS","518.00","162.00","233.00","27.00","940.00"
"17-01","ALIMENTO PARA MASCOTAS","391.55","6.00","39.00","487.76","924.31"
"06-19","BISCUITS","680.00","109.00","112.00","17.00","918.00"
"09-13","COPAS","514.00","47.00","106.00","237.00","904.00"
"03-02","CHICLES","417.00","39.00","227.00","220.00","903.00"
"06-16","GALLETITAS DE MESA","560.00","112.00","185.00","3.00","860.00"
"05-09","PALILLOS","530.00","75.00","172.00","63.00","840.00"
"25-62","MARGARINAS","317.00","164.00","281.00","31.65","793.65"
"07-11","CREMAS ROSTRO/MANOS/CUERPO","377.00","89.00","207.00","93.00","766.00"
"04-19","REPASADORES","357.00","72.00","117.00","154.00","700.00"
"05-01","ADHESIVOS","288.00","133.00","129.00","140.00","690.00"
"05-23","PRESERVATIVOS","284.00","201.00","181.00","18.00","684.00"
"25-68","MINI PIEZAS","511.83","9.77","96.00","51.50","669.10"
"01-34","SEMOLAS","576.00","55.00","30.00","6.00","667.00"
"15-09","LICORES","343.00","54.00","215.00","27.00","639.00"
"18-01","TODOS","16.00","3.00","2.00","606.00","627.00"
"07-13","FIJADORES","314.00","49.00","165.00","84.00","612.00"
"04-37","DESODORANTE DE BA O","355.00","81.00","83.00","88.00","607.00"
"90-10","MEDIAS DE MUJER","388.00","0","109.00","91.00","588.00"
"01-42","LECHE EN POLVO","239.00","53.00","141.00","154.00","587.00"
"01-35","AVENA/NESTUM","307.00","96.00","90.00","77.00","570.00"
"04-57","LAMINAS/PAPEL ALUM/MANTECA","344.00","52.00","171.00","1.00","568.00"
"04-10","ESCOBILLONES","207.00","53.00","157.00","132.00","549.00"
"90-13","GUANTES","338.00","0","29.00","160.00","527.00"
"07-10","TINTURAS","224.00","67.00","97.00","133.00","521.00"
"90-20","PANTALONES JOGGER","469.00","0","0","44.00","513.00"
"03-06","OBLEAS BA ADAS","302.00","101.00","49.00","55.00","507.00"
"16-09","CUADERNOS","414.00","0","25.00","44.00","483.00"
"04-18","GUANTES DE GOMA","122.00","91.00","147.00","64.00","424.00"
"06-14","MERENGUES","197.00","66.00","161.00","0","424.00"
"04-32","LUSTRAMUEBLES","188.00","66.00","103.00","60.00","417.00"
"10-08","BUDIN","205.00","139.00","37.00","31.00","412.00"
"16-14","CINTAS ADHESIVAS","209.00","130.00","26.00","47.00","412.00"
"04-11","CEPILLOS","191.00","92.00","85.00","43.00","411.00"
"04-12","CABOS","173.00","46.00","99.00","80.00","398.00"
"03-09","BOCADITOS/CONITOS","251.00","51.00","63.00","9.00","374.00"
"01-41","ALMIDON DE MAIZ","147.00","56.00","48.00","120.62","371.62"
"01-37","SABORIZANTES","182.00","55.00","121.00","13.00","371.00"
"04-17","SECADORES DE PISO","237.00","35.00","57.00","40.00","369.00"
"04-09","ESCOBAS","217.00","48.00","42.00","60.00","367.00"
"01-50","REPOSTERIA","178.00","67.00","94.00","27.00","366.00"
"01-06","EXTRACTO DE TOMATE","226.00","40.00","63.00","28.00","357.00"
"04-58","SERVILLETAS","131.00","87.00","82.00","35.00","335.00"
"04-24","BROCHES PARA ROPA","194.00","0","88.00","44.00","326.00"
"05-22","ACCESORIOS DE PELO","242.00","20.00","6.00","56.00","324.00"
"07-04","PERFUMES","164.00","7.00","13.00","127.00","311.00"
"01-39","PALMITOS Y CHAMPIGNONES","201.00","27.00","60.00","6.00","294.00"
"90-11","TOALLAS","267.00","0","0","23.00","290.00"
"25-64","PAPAS CONGELADAS","76.00","20.00","176.00","1.00","273.00"
"05-06","CARBON VEGETAL","125.00","54.00","63.00","28.00","270.00"
"90-12","CALZADO","143.00","1.00","1.00","122.00","267.00"
"19-07","GLOBOS/PI ATAS","177.00","20.00","1.00","62.00","260.00"
"06-12","PIONONO","147.00","71.00","31.00","4.00","253.00"
"01-44","PURE DE PAPAS","208.00","27.00","0","8.00","243.00"
"07-19","CUIDADO DEL BEB","138.00","18.00","65.00","18.00","239.00"
"01-40","PULPAS DE FRUTA","115.00","11.00","108.00","0","234.00"
"04-50","POMADAS","105.00","36.00","28.00","58.00","227.00"
"15-03","WISKYS","115.00","17.00","72.00","23.00","227.00"
"20-03","AUTOS/VEHICULOS","70.00","2.00","68.00","83.00","223.00"
"09-03","MATE","165.00","34.00","9.00","14.00","222.00"
"07-15","REPELENTES","127.00","28.00","25.00","38.00","218.00"
"07-43","MAQUILLAJE","104.00","7.00","18.00","89.00","218.00"
"07-05","COLONIAS/BODY SPLASH","103.00","16.00","69.00","25.00","213.00"
"07-23","CREMAS/TRATAMIENTOS CAPILARE","89.00","76.00","23.00","24.00","212.00"
"90-17","CAMISAS","162.00","0","0","49.00","211.00"
"19-05","VELAS","135.00","32.00","2.00","41.00","210.00"
"07-18","ENJUAGUES/SPRAY BUCAL","168.00","5.00","21.00","11.00","205.00"
"05-37","MANICURIA","186.00","5.00","2.00","12.00","205.00"
"16-01","REPUESTOS ESCOLARES","132.00","0","26.00","34.00","192.00"
"17-02","ACCESORIOS PARA MASCOTAS","114.00","11.00","66.00","0","191.00"
"04-41","QUITAMANCHAS","98.00","30.00","49.00","4.00","181.00"
"90-14","GORROS","96.00","0","30.00","42.00","168.00"
"05-31","TABLETAS","65.00","45.00","0","53.00","163.00"
"27-02","HERRAMIENTAS","73.00","0","2.00","87.00","162.00"
"16-06","COLAS VINILICAS","125.00","19.00","1.00","12.00","157.00"
"10-03","CONFITES Y PELADILLAS","134.00","0","21.00","0","155.00"
"04-44","PALAS","84.00","13.00","35.00","23.00","155.00"
"07-03","ELEMENTOS PARA AFEITAR","101.00","19.00","23.00","11.00","154.00"
"15-13","SIDRAS","112.00","24.00","14.00","1.00","151.00"
"09-04","CORTINAS","106.00","0","3.00","38.00","147.00"
"25-65","MILANESAS CONGELADAS","72.00","16.00","59.00","0","147.00"
"15-10","ESPUMANTES Y FRIZZE","97.00","19.00","18.00","12.00","146.00"
"06-15","ROSCAS","141.00","2.00","0","0","143.00"
"99-99","NO posee","141.00","0","0","2.00","143.00"
"10-05","GARRAPI ADAS","93.00","0","26.00","19.00","138.00"
"04-30","PERFUMES PARA TELA","61.00","30.00","3.00","37.00","131.00"
"19-12","PLASTICOS Y ENVASES TUCUMAN","10.00","0","1.00","120.00","131.00"
"01-60","FRUTAS SECAS/REMOJADAS","95.43","13.35","0","17.20","125.98"
"10-06","MANTECOLES","123.00","0","0","1.00","124.00"
"05-27","TAMPONES","81.00","26.00","12.00","5.00","124.00"
"09-16","CUBIERTOS","76.00","6.00","11.00","16.00","109.00"
"20-09","DIDACTICOS/BLOQUES/VARIOS","74.00","0","19.00","13.00","106.00"
"20-05","SET DE BELLEZA","42.00","12.00","38.00","14.00","106.00"
"16-02","LAPICERAS","75.00","0","12.00","16.00","103.00"
"09-05","CESTO","36.00","4.00","27.00","34.00","101.00"
"01-64","BURGOL","0","0","0","100.00","100.00"
"07-38","ESTETICA PERSONAL","72.00","11.00","0","12.00","95.00"
"26-01","TODOS","88.00","0","0","1.00","89.00"
"09-66","PORTA RETRATO","53.00","6.00","10.00","12.00","81.00"
"09-54","BOTELLA","28.00","3.00","36.00","14.00","81.00"
"16-03","LAPICES","64.00","0","0","14.00","78.00"
"09-12","TAZA","32.00","7.00","14.00","21.00","74.00"
"09-02","MOLDE","66.00","1.00","1.00","5.00","73.00"
"20-02","MU ECAS/BEBES","35.00","2.00","30.00","2.00","69.00"
"04-31","CERA PARA PISOS","36.00","7.00","15.00","6.00","64.00"
"09-52","TERMO","41.00","4.00","7.00","12.00","64.00"
"16-07","CARPETAS","50.00","0","10.00","0","60.00"
"90-89","FRAZADAS/ACOLCHADOS","22.00","0","1.00","37.00","60.00"
"16-15","BANDITAS ELASTICAS","56.00","0","1.00","1.00","58.00"
"04-23","SOPAPAS","44.00","8.00","0","5.00","57.00"
"09-48","MANTEL","37.00","1.00","0","18.00","56.00"
"03-16","HUEVOS DE PASCUAS","27.00","10.00","18.00","0","55.00"
"16-12","MARCADORES","47.00","0","1.00","7.00","55.00"
"90-23","BOXER HOMBRE","0","0","0","55.00","55.00"
"20-15","PISTOLAS/ARMAS/ESCUDOS","19.00","1.00","22.00","10.00","52.00"
"05-28","MAQUILLAJES","29.00","5.00","14.00","2.00","50.00"
"05-36","LUBRICANTES","25.00","9.00","9.00","7.00","50.00"
"16-44","BLOCKS/ANOTADORES","38.00","0","0","9.00","47.00"
"15-20","CA A QUEMADA","32.00","2.00","5.00","7.00","46.00"
"16-20","HOJAS CANSON/CALCAR","40.00","6.00","0","0","46.00"
"90-88","SABANAS","32.00","0","11.00","3.00","46.00"
"20-17","PONYS","32.00","0","5.00","8.00","45.00"
"16-13","CRAYONES","37.00","0","0","7.00","44.00"
"19-11","BANDEJAS","0","0","0","42.00","42.00"
"16-29","CARTUCHERAS","36.00","0","3.00","1.00","40.00"
"09-11","JARRA","22.00","2.00","3.00","13.00","40.00"
"01-66","VITINA","0","0","0","40.00","40.00"
"20-07","ANIMALES/DINOSAURIOS","14.00","0","20.00","4.00","38.00"
"16-26","ACUARELAS","35.00","0","0","2.00","37.00"
"09-46","BIFERA","19.00","0","17.00","0","36.00"
"90-99","ANTEOJOS","9.00","0","0","27.00","36.00"
"10-02","TURRONES","21.00","0","14.00","0","35.00"
"09-22","ESCURRIDOR","21.00","0","4.00","10.00","35.00"
"16-25","TEMPERAS","27.00","0","0","8.00","35.00"
"87-01","HELADOS","0.00","0","2.00","32.00","34.00"
"90-25","ANILINAS","13.00","10.00","0","10.00","33.00"
"04-47","AROMATIZANTES","24.00","1.00","7.00","0","32.00"
"04-33","FRANELAS","25.00","1.00","0","5.00","31.00"
"04-43","PLUMEROS","8.00","10.00","3.00","8.00","29.00"
"16-04","GOMAS","28.00","0","0","1.00","29.00"
"16-08","FOLIOS","27.00","0","0","0","27.00"
"51-05","CARGADORES/CABLES","12.00","4.00","2.00","8.00","26.00"
"04-62","RATICIDA","0","0","0","26.00","26.00"
"25-69","NUGGETSS","24.00","0","0","0","24.00"
"04-48","BALDES","21.00","0","3.00","0","24.00"
"05-20","ESPEJOS","16.00","5.00","2.00","0","23.00"
"04-35","LAMPAZO","8.00","5.00","0","9.00","22.00"
"09-17","PAVA","19.00","0","0","2.00","21.00"
"03-13","TEMBLEKE/TREMBLYS","20.00","0","0","0","20.00"
"04-54","APRESTO","15.00","2.00","2.00","1.00","20.00"
"09-63","CONTENEDOR","9.00","0","10.00","1.00","20.00"
"16-11","LAP.COLORES","17.00","0","0","2.00","19.00"
"16-23","TIJERAS","11.00","0","0","8.00","19.00"
"15-25","GINN","10.00","1.00","6.00","1.00","18.00"
"15-17","TEQUILA","5.00","10.00","1.00","1.00","17.00"
"07-33","PIOJICIDAS","7.00","3.00","6.00","0","16.00"
"19-13","PALITO BROCHETTE","16.00","0","0","0","16.00"
"20-20","SONAJEROS","2.00","0","10.00","3.00","15.00"
"10-01","PAN DULCE","15.00","0","0","0","15.00"
"07-24","PEINES","5.00","6.00","0","4.00","15.00"
"15-06","RON","9.00","0","6.00","0","15.00"
"10-04","FRUTAS SECAS Y ABRILLANTADAS","0","9.00","6.00","0","15.00"
"05-32","ARTICULOS DE COSTURA","1.00","13.00","0","0","14.00"
"20-01","PELOTAS","6.00","1.00","4.00","3.00","14.00"
"01-62","LASAGNAS","0","0","0","14.00","14.00"
"51-08","CALOVENTORES","6.00","0","0","8.00","14.00"
"09-35","ESPECIEROS","0","0","4.00","10.00","14.00"
"09-64","LONCHERA","3.00","2.00","1.00","8.00","14.00"
"90-16","PANTALONES JEANS","8.00","0","0","5.00","13.00"
"09-47","PANQUEQUERA","10.00","0","3.00","0","13.00"
"16-41","BANDERIN ARGENTINA","12.00","0","0","1.00","13.00"
"20-10","PELUCHES","9.00","0","0","4.00","13.00"
"07-39","PROTECTOR SOLAR","6.00","1.00","4.00","0","11.00"
"05-13","PARCHES DE BICICLETA","10.00","0","0","1.00","11.00"
"90-19","GORRAS/GORROS","1.00","0","0","9.00","10.00"
"20-16","BEYBLADE","0","0","10.00","0","10.00"
"16-21","CORRECTORES","9.00","0","0","1.00","10.00"
"20-12","MU ECOS/ROBOT","4.00","2.00","1.00","1.00","8.00"
"20-24","BANCOS/SILLONES","7.00","0","1.00","0","8.00"
"90-21","PARAGUAS","0","0","6.00","2.00","8.00"
"20-19","DEPORTES","5.00","0","1.00","1.00","7.00"
"20-22","MUSICA","1.00","0","5.00","1.00","7.00"
"51-02","PARLANTES","4.00","0","3.00","0","7.00"
"20-18","COCINA","0","0","6.00","0","6.00"
"02-11","GRANADINA","5.00","1.00","0","0","6.00"
"15-07","GINEBRA","5.00","0","0","1.00","6.00"
"20-08","JUEGOS DE MESA","5.00","0","1.00","0","6.00"
"09-62","CANASTO","3.00","0","2.00","0","5.00"
"16-10","PLASTILINAS","0","0","0","5.00","5.00"
"90-91","BOLSOS/MORRAL","2.00","0","0","3.00","5.00"
"19-03","Bombucha","3.00","0","1.00","0","4.00"
"20-06","JUEGOS DE PLAYA","0","0","4.00","0","4.00"
"16-17","GEOMETRIA","4.00","0","0","0","4.00"
"21-61","MACETAS","4.00","0","0","0","4.00"
"16-24","COMPAS","3.00","0","0","0","3.00"
"16-38","MOCHILAS","1.00","0","1.00","1.00","3.00"
"15-27","PI A COLADA","0","0","3.00","0","3.00"
"16-32","CARTULINA","0","0","0","3.00","3.00"
"09-61","BATIDOR","2.00","0","1.00","0","3.00"
"05-15","HILO","3.00","0","0","0","3.00"
"90-90","COVER","2.00","0","0","1.00","3.00"
"15-18","CO AC","3.00","0","0","0","3.00"
