"familia_cod","familia","Fair","Burzaco","A.Korn","Tucuman"
"01","COMESTIBLES","290830.71","63218.39","153440.68","44262.35"
"02","BEBIDAS S/ALCOHOL","36185.00","13117.00","31925.00","14461.00"
"03","GOLOSINAS","84798.00","21410.00","25444.00","4985.17"
"04","ART. LIMPIEZA","61980.00","14282.00","29490.00","14999.00"
"05","KIOSKO (OFICINA)","14094.00","2990.00","3411.00","2143.00"
"06","GALLETITAS","71797.00","19849.00","39589.00","8557.00"
"07","PERFUMERIA","38248.00","8535.00","19537.00","7722.00"
"09","BAZAR","2054.00","144.00","421.00","610.00"
"10","PROD. NAVIDE OS","420.00","126.00","70.00","44.00"
"12","TABACO","1898.00","196.00","1035.00","441.00"
"15","BEBIDAS CON ALCOHOL","16193.00","5194.00","12904.00","2183.00"
"16","LIBRERIA","1275.00","147.00","98.00","203.00"
"17","MASCOTAS","455.33","17.00","104.00","377.62"
"18","ENVASES","15.00","3.00","2.00","601.00"
"19","COTILLON","278.00","44.00","4.00","197.00"
"20","JUGUETES","311.00","20.00","219.00","139.00"
"21","PLANTAS","4.00","0","0","0"
"25","LACTEOS Y FIAMBRES","86422.03","20599.28","87848.69","10874.08"
"26","PAPELERA","87.00","0","0","1.00"
"27","FERRETERIA","25.00","0","2.00","77.00"
"51","ELECTRO","2214.00","341.00","606.00","201.00"
"87","HELADOS","0.00","0","2.00","27.00"
"90","TEXTIL","1628.00","10.00","181.00","591.00"
"99","No existe tiene ventas","124.00","0","0","2.00"
